location,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Mean Sea Level Pressure
unit,°C,%,hPa
level,2 m elevation corrected,2 m,MSL
resolution,hourly,hourly,hourly
aggregation,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Mean Sea Level Pressure [MSL]
20240116T0900,-3.5497546,83.992226,1013.4
20240116T1000,-2.2397547,81.722725,1013.6
20240116T1100,-0.6797546,75.03223,1013.3
20240116T1200,0.5402454,68.38361,1012.3
20240116T1300,1.4602454,64.08035,1011.1
20240116T1400,1.8202454,62.58501,1010.5
20240116T1500,1.5902454,59.49782,1010.2
20240116T1600,0.9502454,64.43986,1010.3
20240116T1700,-2.0797548,78.08904,1010.4
20240116T1800,-3.6297545,86.13563,1009.9
20240116T1900,-3.3697548,87.03128,1009.2
20240116T2000,-2.4497547,84.09029,1008.3
20240116T2100,-1.6697546,81.44281,1007.5
20240116T2200,-1.1897546,81.64383,1006.9
20240116T2300,-0.9697546,84.62088,1006.2
20240117T0000,-0.6697546,89.47469,1005.3
20240117T0100,-0.49975455,94.39894,1004.1
20240117T0200,-0.24975461,95.88794,1003.4
20240117T0300,0.040245414,96.752235,1002.5
20240117T0400,0.2702454,97.3314,1001.2
20240117T0500,0.6602454,98.20312,999.9
20240117T0600,0.89024544,98.64041,998.4
20240117T0700,1.4902453,97.66435,997.0
20240117T0800,1.9902455,97.472015,995.9
20240117T0900,2.5402455,97.21345,995.3
20240117T1000,2.5102453,97.0727,995.2
20240117T1100,4.150245,95.02435,993.9
20240117T1200,5.7002454,94.17682,992.6
20240117T1300,8.210245,90.37079,991.4
20240117T1400,9.760245,87.334946,990.4
20240117T1500,10.200245,87.61889,990.0
20240117T1600,10.160245,89.42645,990.0
20240117T1700,10.200245,91.21186,990.2
20240117T1800,10.500245,90.98692,990.3
20240117T1900,10.530245,90.12921,990.0
20240117T2000,10.490245,89.75948,990.4
20240117T2100,10.710245,89.77796,990.7
20240117T2200,10.850245,88.04131,991.1
20240117T2300,10.930245,88.768364,991.5
20240118T0000,10.870245,89.48777,991.4
20240118T0100,10.700245,89.10967,991.9
20240118T0200,10.520246,88.55014,992.1
20240118T0300,10.240245,87.62288,991.6
20240118T0400,9.500245,88.57572,991.2
20240118T0500,9.410245,88.3244,991.1
20240118T0600,10.130245,86.244705,991.0
20240118T0700,10.3102455,87.093285,990.9
20240118T0800,10.580245,86.6475,990.9
20240118T0900,10.640245,86.24147,991.4
20240118T1000,10.500245,86.34398,992.1
20240118T1100,9.950245,86.81778,992.9
20240118T1200,8.990245,90.93325,994.7
20240118T1300,6.0702453,96.46404,997.6
20240118T1400,2.9402456,91.33941,1000.7
20240118T1500,1.3302454,87.85699,1003.1
20240118T1600,1.2102454,87.52129,1005.1
20240118T1700,1.1602454,88.42047,1006.8
20240118T1800,1.0802454,89.653854,1008.1
20240118T1900,0.9402454,90.69883,1009.6
20240118T2000,0.6002454,92.348366,1010.8
20240118T2100,0.4002454,92.40006,1012.3
20240118T2200,0.16024542,90.69272,1013.2
20240118T2300,-0.05975461,89.60436,1014.2
20240119T0000,-0.3697546,88.382034,1015.2
20240119T0100,-0.5797546,87.50614,1016.3
20240119T0200,-0.98975456,87.653854,1017.1
20240119T0300,-1.3097546,88.40804,1017.3
20240119T0400,-1.4697546,87.59671,1018.0
20240119T0500,-2.2497544,89.23886,1018.7
20240119T0600,-2.5597544,89.06994,1019.6
20240119T0700,-3.1097546,90.02919,1020.6
20240119T0800,-2.1197548,88.515434,1021.9
20240119T0900,-1.1097546,86.011665,1022.7
20240119T1000,0.060245395,85.016205,1024.2
20240119T1100,0.9402454,76.77697,1024.2
20240119T1200,1.2602453,69.542564,1023.9
20240119T1300,1.4202454,67.052666,1024.0
20240119T1400,1.3902454,67.14697,1024.0
20240119T1500,1.1002455,70.77612,1024.5
20240119T1600,-0.47975457,80.53675,1025.1
20240119T1700,-1.6797546,86.97993,1025.9
20240119T1800,-2.6697545,90.48489,1026.6
20240119T1900,-3.3697548,91.520546,1027.4
20240119T2000,-3.5097547,92.48663,1027.6
20240119T2100,-3.6397548,91.77416,1028.1
20240119T2200,-4.499755,93.7535,1028.9
20240119T2300,-4.8597546,93.72489,1029.3
20240120T0000,-5.1697545,93.988846,1029.5
20240120T0100,-5.3597546,92.89322,1029.4
20240120T0200,-5.269755,91.832146,1029.7
20240120T0300,-5.4097548,90.759674,1029.9
20240120T0400,-5.579755,91.51862,1030.1
20240120T0500,-5.7797546,91.712074,1030.3
20240120T0600,-5.9197545,90.56552,1030.7
20240120T0700,-6.249755,90.0374,1031.2
20240120T0800,-5.059755,88.2362,1032.0
20240120T0900,-3.2497544,79.57236,1032.4
20240120T1000,-1.7897545,77.01643,1033.3
20240120T1100,-0.7197546,73.55445,1033.0
20240120T1200,0.4402454,68.30805,1032.2
20240120T1300,1.2702454,64.61922,1031.5
20240120T1400,1.5202454,65.12537,1031.1
20240120T1500,0.6502454,76.03515,1031.0
20240120T1600,-0.62975454,72.90397,1031.4
20240120T1700,-2.8097544,83.84514,1031.5
20240120T1800,-3.1997547,85.5368,1031.6
20240120T1900,-3.3097544,86.11253,1031.8
20240120T2000,-3.4497547,83.172295,1031.8
20240120T2100,-3.9197545,82.907166,1031.4
20240120T2200,-4.349755,80.807625,1032.1
20240120T2300,-5.079755,83.37022,1032.3
20240121T0000,-5.3797545,84.37048,1032.6
20240121T0100,-5.119755,83.36395,1032.2
20240121T0200,-5.119755,83.03962,1031.9
20240121T0300,-4.9697547,83.25765,1031.3
20240121T0400,-4.6097546,83.0556,1031.1
20240121T0500,-3.7897549,81.46828,1030.8
20240121T0600,-3.499755,82.590744,1031.0
20240121T0700,-3.2997546,82.62237,1031.7
20240121T0800,-2.5997548,82.16527,1032.1
20240121T0900,-1.1597546,79.93734,1031.9
20240121T1000,0.6302454,78.57903,1032.8
20240121T1100,2.4202454,74.14219,1032.5
20240121T1200,4.2702456,68.68106,1032.3
20240121T1300,5.880245,63.199352,1031.7
20240121T1400,6.3202453,64.90175,1031.0
20240121T1500,5.4502454,65.45527,1030.8
20240121T1600,3.3402452,71.42298,1030.9
20240121T1700,1.9102454,77.014275,1031.0
20240121T1800,0.9502454,79.3418,1031.2
20240121T1900,0.5702454,79.454414,1031.2
20240121T2000,0.5302454,78.973816,1030.9
20240121T2100,0.4402454,76.109024,1030.0
20240121T2200,0.5502454,73.04303,1030.0
20240121T2300,0.3702454,74.845764,1029.9
20240122T0000,0.9402454,75.579735,1028.2
20240122T0100,1.3602455,74.09445,1027.4
20240122T0200,1.0402454,74.642685,1026.4
20240122T0300,1.5802454,69.56301,1025.9
20240122T0400,2.1102452,65.71665,1025.5
20240122T0500,2.9402456,58.786804,1024.9
20240122T0600,3.7202454,58.117073,1024.7
20240122T0700,5.0702453,57.921707,1024.0
20240122T0800,6.6602454,63.070526,1023.9
20240122T0900,8.080246,66.93633,1022.8
20240122T1000,9.390245,68.2892,1023.3
20240122T1100,9.470245,74.796486,1022.2
20240122T1200,9.0602455,78.69391,1021.5
20240122T1300,8.800245,86.39522,1020.8
20240122T1400,8.700245,90.22476,1020.2
20240122T1500,8.710245,89.72974,1020.0
20240122T1600,8.690246,90.59746,1021.1
20240122T1700,8.5602455,90.586914,1022.4
20240122T1800,8.740245,89.11605,1023.9
20240122T1900,8.660245,88.312645,1025.3
20240122T2000,8.540245,87.4499,1026.3
20240122T2100,8.380245,87.07037,1027.1
20240122T2200,8.150246,88.6921,1027.5
20240122T2300,8.170245,86.74608,1027.9
20240123T0000,7.8302455,86.34694,1028.0
20240123T0100,7.7402453,84.42808,1027.9
20240123T0200,7.5802455,83.70103,1029.0
20240123T0300,7.4502454,82.16899,1029.5
20240123T0400,7.3902454,84.32471,1029.5
20240123T0500,7.3902454,83.970375,1030.9
20240123T0600,7.0102453,84.632774,1031.7
20240123T0700,6.750245,85.13831,1033.0
20240123T0800,6.880245,85.03446,1034.0
20240123T0900,7.3902454,84.20645,1034.5
20240123T1000,8.170245,79.997185,1035.3
20240123T1100,8.610246,77.4721,1034.8
20240123T1200,8.990245,73.612854,1034.1
20240123T1300,8.910245,73.701294,1034.3
20240123T1400,8.910245,74.2219,1033.7
20240123T1500,8.5602455,75.58077,1033.6
20240123T1600,8.480246,76.31491,1034.0
20240123T1700,8.130245,78.322426,1034.2
20240123T1800,7.9902453,79.18616,1033.9
20240123T1900,8.270246,76.5471,1033.3
20240123T2000,8.430245,74.18377,1032.4
20240123T2100,9.010245,69.03339,1031.9
20240123T2200,9.300245,65.74849,1032.1
20240123T2300,9.610246,64.47794,1031.5
20240124T0000,10.160245,64.06117,1030.9
20240124T0100,10.730246,64.332596,1030.2
20240124T0200,11.3102455,64.92301,1029.7
20240124T0300,11.750245,66.81855,1029.5
20240124T0400,11.960245,70.239044,1030.1
20240124T0500,11.980246,75.35188,1030.3
20240124T0600,12.100245,78.365944,1030.6
20240124T0700,11.970245,80.94854,1030.5
20240124T0800,12.440246,80.522606,1030.6
20240124T0900,12.860246,79.98622,1031.1
