### 
### Experiment date : 2025-07-02 14:41:31 
### Parameters of the wind tunnel system 
### 

mode : 1
max_time : 1800
is_save_data : True
path_save_data : experiments\exp_2025-07-02_14-24-48
is_density_link_temperature : False
alpha : 0.1
beta : 0.02
sampling_rate : 1000
sampling_batch : 400
k_pitot : 86.207
offset_pitot : 0
offset_T : -0.146
k_T : 100
k_atm : 5200
offset_atm : 80000
factor_conv : 1
P : 0.12
I : 0.015
D : 0.075
conv_factor : 0.05

### 
### Data 
### 

t [s], v [m/s], v_target [m/s], T [K], Pressure_pitot [Pa], P_amb [Pa], Control_signal [V]
270.48699283599854, 4.97971804676481, 5.0, 298, 14.773344149525578, 101905.46248482785, 1.6337358081487554
270.90666937828064, 5.117429863524631, 5.0, 298, 15.601742515845185, 101905.46248482785, 1.6353926076991698
271.3297789096832, 5.129468800362715, 5.0, 298, 15.675236177403503, 101905.46248482785, 1.6317962083977955
271.7646219730377, 5.07697165107621, 5.0, 298, 15.356024085125675, 101905.46248482785, 1.6290520292986166
272.1734998226166, 4.9797647877557925, 5.0, 298, 14.773621484097493, 101905.46248482785, 1.6289197718219237
272.596563577652, 5.10071014667194, 5.0, 298, 15.499960727951212, 101905.46248482785, 1.630966629076501
273.018271446228, 5.179457162065694, 5.0, 298, 15.98224554851693, 101905.46248482785, 1.6297192136287038
273.43811774253845, 4.907208680638977, 5.0, 298, 14.346248908771578, 101905.46248482785, 1.6259296070185996
273.86146569252014, 5.118930595281269, 5.0, 298, 15.610894556718485, 101905.46248482785, 1.6294184997117624
274.28251791000366, 5.035032867929983, 5.0, 298, 15.103372290108213, 101905.46248482785, 1.6287725800794322
274.7029311656952, 4.740107044168506, 5.0, 298, 13.385839286218914, 101905.46248482785, 1.627398846188537
275.124281167984, 5.006336137023613, 5.0, 298, 14.931702190090858, 101905.46248482785, 1.6344840236004696
275.54427099227905, 4.886770417512277, 5.0, 298, 14.226995042846758, 101905.46248482785, 1.6344845677953237
275.96492052078247, 4.991995849245188, 5.0, 298, 14.84628314194006, 101905.46248482785, 1.6343203919920497
276.3829982280731, 5.071696638663923, 5.0, 298, 15.324130609355084, 101905.46248482785, 1.6344447445095112
276.81852197647095, 5.02475983580519, 5.0, 298, 15.041804015142377, 101905.46248482785, 1.6317267843532206
277.24115896224976, 4.944349571770246, 5.0, 298, 14.564233882299268, 101905.46248482785, 1.6312306095641025
277.65958547592163, 4.926617362375194, 5.0, 298, 14.45995608325803, 101905.46248482785, 1.6332481792265838
278.08024764060974, 4.946279293353382, 5.0, 298, 14.575604599747914, 101905.46248482785, 1.6350440237777548
278.48748421669006, 5.093358018899407, 5.0, 298, 15.455309861872385, 101905.46248482785, 1.6355315648062407
278.9110703468323, 5.02568619488605, 5.0, 298, 15.04735070658074, 101905.46248482785, 1.6326598261364589
279.333340883255, 5.024435569776914, 5.0, 298, 15.039862673138948, 101905.46248482785, 1.6316640011186663
279.74383783340454, 5.196550598884641, 5.0, 298, 16.08791002041776, 101905.46248482785, 1.6321478526937863
280.1654534339905, 5.218139745330119, 5.0, 298, 16.22186261865424, 101905.46248482785, 1.628219878448941
280.5884828567505, 5.2673750344709385, 5.0, 298, 16.529426658911504, 101905.46248482785, 1.6240877628230586
281.00706911087036, 4.954930252765515, 5.0, 298, 14.626634160980858, 101905.46248482785, 1.6207747103458345
281.4285087585449, 4.981961119674509, 5.0, 298, 14.786656208977648, 101905.46248482785, 1.6245833648789811
281.8516104221344, 5.001079703210764, 5.0, 298, 14.900363383464104, 101905.46248482785, 1.6279124749707674
282.26987743377686, 5.035032867929983, 5.0, 298, 15.103372290108213, 101905.46248482785, 1.6275991099159293
282.6899507045746, 4.988824256702236, 5.0, 298, 14.827424391049622, 101905.46248482785, 1.6268343149241549
283.1124618053436, 5.145099923955239, 5.0, 298, 15.770916604715277, 101905.46248482785, 1.6273011752763384
283.53232622146606, 5.16604807339807, 5.0, 298, 15.899599846085312, 101905.46248482785, 1.6246673263165554
283.95171880722046, 5.0732108990113804, 5.0, 298, 15.333282650228385, 101905.46248482785, 1.6213265321546197
284.3791584968567, 4.923403654042205, 5.0, 298, 14.441097332367594, 101905.46248482785, 1.6216795950109755
284.8118345737457, 5.040623317499134, 5.0, 298, 15.136929773310312, 101905.46248482785, 1.6253849767330748
285.2354724407196, 4.987051017641676, 5.0, 298, 14.816885677316732, 101905.46248482785, 1.6253694339884055
285.65757632255554, 5.1243386748821225, 5.0, 298, 15.643897370776749, 101905.46248482785, 1.6250944620867385
286.0660741329193, 5.119748990825543, 5.0, 298, 15.615886579013013, 101905.46248482785, 1.6229791310389285
286.473840713501, 5.0928553122601, 5.0, 298, 15.452259181581285, 101905.46248482785, 1.6206008402362704
286.88460326194763, 5.122521470037798, 5.0, 298, 15.63280398790002, 101905.46248482785, 1.6202465849645473
